card_name,image,attack,defence,card_type,level,type
Knight's Title,https://uploads1.yugioh.com/card_images/209/list/Knight's-Title.jpg?1374777533,,,Normal Spell,,
Koala March,https://uploads3.yugioh.com/card_images/4978/list/Koala-March%E2%99%AA-%28Temp%29.jpg?1399576564,,,Normal Spell,,
Kojikocy,https://uploads4.yugioh.com/card_images/3313/list/4182.jpg?1385127978,1500,1200,Normal Monster,4,Warrior
Koumori Dragon,https://uploads2.yugioh.com/card_images/274/list/Koumori-Dragon.jpg?1375127808,1500,1200,Normal Monster,4,Dragon
Kozaky,https://uploads3.yugioh.com/card_images/5475/list/kozaky.jpg?1440707085,400,400,Normal Monster,1,Fiend
Krebons,https://uploads1.yugioh.com/card_images/3760/list/5442.jpg?1385135030,1200,400,Tuner Monster,2,Psychic
Krokodilus,https://uploads3.yugioh.com/card_images/211/list/Krokodilus.jpg?1374777583,1100,1200,Normal Monster,4,Reptile
Kunai with Chain,https://uploads1.yugioh.com/card_images/212/list/Kunai-with-Chain.jpg?1374777612,,,Normal Trap,,
Kung Fu Nyan Nyan,https://uploads1.yugioh.com/card_images/5219/list/Kung-Fu-Nyan-Nyan.jpg?1422983716,1700,1000,Effect Monster,4,Warrior
Kurama,https://uploads3.yugioh.com/card_images/3395/list/5240.jpg?1385134290,800,800,Normal Monster,3,Winged Beast
Kuribabylon,https://uploads4.yugioh.com/card_images/213/list/Kuribabylon.jpg?1374777651,0,200,Effect Monster,5,Fiend
Kuribah,https://uploads2.yugioh.com/card_images/214/list/Kuribah.jpg?1374777676,300,200,Effect Monster,1,Fiend
Kuribandit,https://uploads3.yugioh.com/card_images/4545/list/Kuribandit.jpg?1389373914,0,200,Effect Monster,5,N/A
Kuribee,https://uploads1.yugioh.com/card_images/215/list/Kuribee.jpg?1374777698,300,200,Effect Monster,1,Fiend
Kuribeh,https://uploads2.yugioh.com/card_images/216/list/Kuribeh.jpg?1374777721,300,200,Effect Monster,1,Fiend
Kuriboh,https://uploads1.yugioh.com/card_images/275/list/Kuriboh.jpg?1375127846,300,200,Effect Monster,1,Fiend
Kuribon,https://uploads1.yugioh.com/card_images/4083/list/5444.jpg?1385135694,300,200,Effect Monster,1,Fairy
Kuriboo,https://uploads1.yugioh.com/card_images/4979/list/kuriboo.jpg?1399576622,N/A,N/A,Effect Monster,N/A,N/A
Kuriphoton,https://uploads3.yugioh.com/card_images/920/list/%E3%82%AF%E3%83%AA%E3%83%95%E3%82%A9%E3%83%88%E3%83%B3.jpg?1382388561,300,200,Effect Monster,,Fiend
Kurivolt,https://uploads3.yugioh.com/card_images/620/list/Kurivolt.jpg?1380220941,300,200,Effect Monster,,Thunder
La Jinn the Mystical Genie of the Lamp,https://uploads3.yugioh.com/card_images/4417/list/La-Jinn-the-Mystical-CardF.jpg?1386975018,1800,1000,Normal Monster/Ka Monster,4,Fiend
Labyrinth of Decisions,https://uploads4.yugioh.com/card_images/5283/list/Labyrinth-of-Decision.jpg?1423158845,,,Continuous Spell,,
Labyrinth of Kline,https://uploads2.yugioh.com/card_images/3935/list/5922.jpg?1385135393,,,Normal Trap,,
Labyrinth Tank,https://uploads2.yugioh.com/card_images/217/list/Labyrinth-Tank.jpg?1374777759,2400,2400,Normal Monster,7,Machine
Labyrinth Wall,https://uploads1.yugioh.com/card_images/5284/list/Labyrinth-Wall-CardFL.jpg?1423158883,0,3000,Normal Monster,5,Rock
Lady of Faith,https://uploads1.yugioh.com/card_images/3136/list/4327.jpg?1385127635,1100,800,Normal Monster,3,Spellcaster
Lady Panther,https://uploads4.yugioh.com/card_images/218/list/Lady-Panther.jpg?1374777795,1400,1300,Effect Monster,4,Beast-Warrior
"Lancelot, Knight of the Lake",https://uploads4.yugioh.com/card_images/5285/list/Lancelot_-Knight-of-the-Lake.jpg?1423158950,1500,1700,Effect Monster,,Warrior
Lancer Archfiend,https://uploads3.yugioh.com/card_images/3759/list/5693.jpg?1385135028,1600,1400,Effect Monster,4,Fiend
Land of Frozen Flames,https://uploads2.yugioh.com/card_images/5267/list/Ice-Fire-World.jpg?1423158001,,,Field Spell,,
Landstar Forces,https://uploads1.yugioh.com/card_images/4610/list/Landstar-Forces_Revised.jpg?1390514260,,,Normal Spell,,
Landstar Shot,https://uploads2.yugioh.com/card_images/5292/list/Landstar-Shot-REV.jpg?1423175750,,,Equip Spell,,
Laplace the Fiend Mathematician,https://uploads1.yugioh.com/card_images/5476/list/Laplace_the_Fiend_Mathematician.jpg?1440707149,1000,1000,Effect Monster,4,Fiend
Larvae Moth,https://uploads3.yugioh.com/card_images/276/list/Larvae-Moth.jpg?1375127877,500,400,Effect Monster,2,Insect
Laser Cannon Armor,https://uploads1.yugioh.com/card_images/3336/list/4254.jpg?1385128023,,,Equip Spell,,
Last Chance,https://uploads2.yugioh.com/card_images/5286/list/Last-Chance.jpg?1423158986,,,Counter Trap,,
Last Magnet,https://uploads2.yugioh.com/card_images/4980/list/Last-Magnet-%28Temp%29.jpg?1399576676,,,Normal Trap,,
Last Resort,https://uploads1.yugioh.com/card_images/4981/list/Last-Resort.jpg?1399576732,,,Normal Trap,,
Last Trick,https://uploads1.yugioh.com/card_images/5477/list/Last-Trick.jpg?1440707252,,,Normal Trap,,
Last Turn,https://uploads4.yugioh.com/card_images/2635/list/3791.jpg?1385126692,,,Normal Trap,,
Last Tusk Mammoth,https://uploads3.yugioh.com/card_images/220/list/Last-Tusk-Mammoth.jpg?1374777962,800,1200,Effect Monster,3,Dinosaur
Late Penalty,https://uploads4.yugioh.com/card_images/3409/list/5066.jpg?1385134317,,,Continuous Trap,,
Launcher Spider,https://uploads2.yugioh.com/card_images/2244/list/2826.jpg?1385103300,2200,2500,Normal Monster,7,Machine
Lava Battleguard,https://uploads2.yugioh.com/card_images/1649/list/2807.jpg?1385102090,1550,1800,Effect Monster,5,Warrior
Lava Golem,https://uploads3.yugioh.com/card_images/221/list/Lava-Golem.jpg?1374777989,3000,2500,Effect Monster,8,Fiend
"Lazion, the Timelord",https://uploads4.yugioh.com/card_images/5478/list/Lazion__the_Timelord.jpg?1440707298,0,0,Effect Monster,10,Fairy
Lead Compass,https://uploads3.yugioh.com/card_images/1081/list/1211.jpg?1385099006,,,Normal Spell,,
Leading Question,https://uploads2.yugioh.com/card_images/5479/list/Leading-QuestionFL.jpg?1440707453,,,Continuous Spell,,
Leaf Transformation,https://uploads3.yugioh.com/card_images/5287/list/Leaf-Transformation.jpg?1423159026,,,Spell,,
Left Arm of the Forbidden One,https://uploads3.yugioh.com/card_images/4389/list/Exodia---Left-Arm-ofthe-ForbiddenFL.jpg?1386973329,200,300,Normal Monster,1,Spellcaster
Left Arm Offering,https://uploads4.yugioh.com/card_images/4982/list/Left-Arm-OfferingJP.jpg?1399576792,,,Normal Trap,,
Left Leg of the Forbidden One,https://uploads4.yugioh.com/card_images/4390/list/Exodia---Left-Leg-of-the-Forbidden-.jpg?1386973387,200,300,Normal Monster,1,Spellcaster
Legend of Heart,https://uploads4.yugioh.com/card_images/223/list/Legend-of-Heart.jpg?1374778103,N/A,N/A,N/A Other,N/A,N/A
Legendary Fiend,https://uploads4.yugioh.com/card_images/224/list/Legendary-Fiend.jpg?1374778154,1500,1800,Effect Monster,6,Fiend
Legendary Sword,https://uploads2.yugioh.com/card_images/225/list/Legendary-Sword.jpg?1374778195,,,Equip Spell,,
Leghul,https://uploads4.yugioh.com/card_images/226/list/Leghul.jpg?1374778224,300,350,Effect Monster,1,Insect
Legion the Fiend Jester,https://uploads2.yugioh.com/card_images/3153/list/4419.jpg?1385127668,1300,1500,Normal Monster,4,Spellcaster
Lekunga,https://uploads4.yugioh.com/card_images/222/list/Lekunga.jpg?1374778059,1700,500,Effect Monster,4,Plant
Lengard,https://uploads1.yugioh.com/card_images/5296/list/Lengard.jpg?1423176302,300,100,Effect Monster,3,Rock
Leogun,https://uploads3.yugioh.com/card_images/1810/list/2836.jpg?1385102416,1750,1550,Normal Monster,5,Beast
Lesser Dragon,https://uploads1.yugioh.com/card_images/227/list/Lesser-Dragon.jpg?1374778253,1200,1000,Normal Monster,4,Dragon
Level Cannon,https://uploads3.yugioh.com/card_images/3726/list/5054.jpg?1385134960,,,Continuous Trap,,
Level Change,https://uploads1.yugioh.com/card_images/5480/list/Level_Change.jpg?1440707577,,,Normal Trap,,
Level Doubler,https://uploads1.yugioh.com/card_images/748/list/Level-cross.jpg?1380294550,,,Normal Spell/Spell,,
Level Down!,https://uploads3.yugioh.com/card_images/5481/list/Level_Down.jpg?1440707629,,,Normal Spell,,
Level Eater,https://uploads2.yugioh.com/card_images/3879/list/5055.jpg?1385135279,600,0,Effect Monster,1,Insect
Level Lifter,https://uploads3.yugioh.com/card_images/5288/list/Level-Meister.jpg?1423159089,,,Spell,,
Level Limit - Area B,https://uploads3.yugioh.com/card_images/1839/list/3076.jpg?1385102476,,,Continuous Spell,,
Level Mirroring,https://uploads1.yugioh.com/card_images/5482/list/Level_Mirroring.jpg?1440707671,,,Normal Spell,,
Level Modulation,https://uploads1.yugioh.com/card_images/2494/list/622.jpg?1385098668,,,Normal Trap,,
Level Pod,https://uploads2.yugioh.com/card_images/4983/list/Level-Pod.jpg?1399576844,500,500,Effect Monster,2,Rock
Level Retuner,https://uploads1.yugioh.com/card_images/3875/list/5051.jpg?1385135271,,,Normal Trap,,
Level Tax,https://uploads1.yugioh.com/card_images/5483/list/Level-Tax.jpg?1440707752,,,Continuous Spell,,
Level Thunder,https://uploads3.yugioh.com/card_images/5484/list/Level_Thunder.jpg?1440707808,,,Normal Spell,,
Level Up!,https://uploads1.yugioh.com/card_images/2836/list/3121.jpg?1385127072,,,Normal Spell,,
Level Warrior,https://uploads2.yugioh.com/card_images/3403/list/5057.jpg?1385134305,300,600,Effect Monster,3,Warrior
Level Wing,https://uploads3.yugioh.com/card_images/5485/list/Level_Wing.jpg?1440707907,,,Normal Spell,,
Levia-Dragon - Daedalus,https://uploads3.yugioh.com/card_images/2496/list/571.jpg?1385098672,2600,1500,Effect Monster,7,Sea Serpent
Liberated Rear Warrior,https://uploads1.yugioh.com/card_images/5486/list/Liberated-Rear-Warrior.jpg?1440708113,0,1200,Tuner Monster,3,Warrior
Life Exchange,https://uploads2.yugioh.com/card_images/5487/list/Life-Exchange.jpg?1440708493,,,Normal Trap,,
Life Force,https://uploads2.yugioh.com/card_images/4984/list/Life-Force.jpg?1399576898,,,Continuous Trap,,
Life Gardna,https://uploads3.yugioh.com/card_images/4985/list/Life-Gardna.jpg?1399576937,0,800,Effect Monster,1,Warrior
Life Regeneration,https://uploads2.yugioh.com/card_images/669/list/Kick-back-life.jpg?1380227110,,,Normal Trap/Trap,,
Life Shaver,https://uploads2.yugioh.com/card_images/5488/list/Life-ShaverFL.jpg?1440708575,,,Normal Trap,,
Life Stream Dragon,https://uploads3.yugioh.com/card_images/4068/list/5086.jpg?1385135665,2900,2400,Synchro Monster/Tuner Monster,8,Dragon
Light Barrier,https://uploads2.yugioh.com/card_images/5489/list/Light_Barrier.jpg?1440708622,,,Field Spell,,
Light to the Depths,https://uploads4.yugioh.com/card_images/3920/list/4899.jpg?1385135363,,,Normal Trap,,
Lightforce Sword,https://uploads3.yugioh.com/card_images/277/list/Lightforce-Sword.jpg?1375127909,,,Normal Trap,,
Lightlow Protection,https://uploads2.yugioh.com/card_images/5490/list/Lightlow_Protection.jpg?1440708779,,,Equip Spell,,
Lightning Blade,https://uploads3.yugioh.com/card_images/228/list/Lightning-Blade.jpg?1374778283,,,Equip Spell,,
Lightning Clinch,https://uploads3.yugioh.com/card_images/5289/list/Lightning-Clinch.jpg?1423159158,,,Quick-Play Spell,,
Lightning Crash,https://uploads1.yugioh.com/card_images/5491/list/Lightning_Crash.jpg?1440708828,,,Normal Spell,,
Lightning Hoverboard,https://uploads1.yugioh.com/card_images/5523/list/Lightning-Board.png?1455813759,1400,1200,Effect Monster,4,Thunder
Lightning Talisman,https://uploads3.yugioh.com/card_images/5492/list/Lightning_Talisman.jpg?1440708881,,,Counter Trap,,
Lightning Tricorn,https://uploads1.yugioh.com/card_images/5493/list/Lightning-Tricorn.jpg?1440708968,2800,2000,Synchro Monster/Effect Monster,8,Beast
Lightserpent,https://uploads4.yugioh.com/card_images/575/list/Lightserpent.jpg?1380211442,1200,800,Effect Monster,,Reptile
Limit Impulse,https://uploads4.yugioh.com/card_images/4108/list/4917.jpg?1385135744,,,Normal Trap,,
Limit Tribute,https://uploads1.yugioh.com/card_images/229/list/Limit-Tribute.jpg?1374778340,,,Normal Trap,,
Limiter Overload,https://uploads3.yugioh.com/card_images/3204/list/3777.jpg?1385127770,,,Normal Trap,,
Limiter Removal,https://uploads1.yugioh.com/card_images/3890/list/5072.jpg?1385135302,,,Quick-Play Spell,,
Lineage of Destruction,https://uploads2.yugioh.com/card_images/3752/list/4876.jpg?1385135014,,,Normal Trap,,
Litmus Doom Ritual,https://uploads4.yugioh.com/card_images/4986/list/Litmus-Doom-Ritual-%28Temp%29.jpg?1399576982,,,Ritual Spell,,
Litmus Doom Swordsman,https://uploads3.yugioh.com/card_images/4987/list/Litmus-Doom-Swordsman-%28Temp%29.jpg?1399577019,0,0,Ritual Monster/Effect Monster,8,Warrior
Little Chimera,https://uploads2.yugioh.com/card_images/3254/list/4341.jpg?1385127862,600,550,Effect Monster,2,Beast
Little Fairy,https://uploads4.yugioh.com/card_images/5290/list/Little-Fairy.jpg?1423159195,800,800,Effect Monster,,Fairy
Little Red Riding Hood,https://uploads3.yugioh.com/card_images/2612/list/3342.jpg?1385126649,800,1200,Effect Monster,3,Fairy
Little-Winguard,https://uploads1.yugioh.com/card_images/1834/list/2655.jpg?1385102464,1400,1800,Normal Monster,4,Warrior
Living Arrow,https://uploads3.yugioh.com/card_images/5494/list/Living-Arrow-CardFL.jpg?1440709292,,,Quick-Play Spell,,
Living Fossil,https://uploads1.yugioh.com/card_images/4988/list/Living-Fossil.jpg?1399577064,,,Equip Spell,,
Lizard Soldier,https://uploads4.yugioh.com/card_images/3107/list/3834.jpg?1385127579,1100,800,Normal Monster,3,Dragon
Ljosalf of the Nordic Alfar,https://uploads4.yugioh.com/card_images/1135/list/1069.jpg?1385099116,1400,1200,Effect Monster,4,Spellcaster
Lock Dragon,https://uploads1.yugioh.com/card_images/4071/list/5690.jpg?1385135672,0,2000,Effect Monster,3,Dragon
Lock On Laser,https://uploads2.yugioh.com/card_images/5495/list/Lock_On_Laser.jpg?1440709338,,,Continuous Spell,,
Loge's Flame,https://uploads1.yugioh.com/card_images/1735/list/1795.jpg?1385102265,,,Continuous Trap,,
"Loki, Lord of the Aesir",https://uploads2.yugioh.com/card_images/1114/list/972.jpg?1385099073,3300,3000,Synchro Monster/Effect Monster,10,Divine-Beast
Lord of D.,https://uploads2.yugioh.com/card_images/1249/list/1127.jpg?1385099346,1200,1100,Effect Monster,4,Spellcaster
Lord of the Red,https://uploads2.yugioh.com/card_images/230/list/Lord-of-the-Red.jpg?1374778379,2400,2000,Ritual Monster/Effect Monster,8,Warrior
Lord of Zemia,https://uploads1.yugioh.com/card_images/5496/list/Lord_of_Zemia-YO_0164.jpg?1440709382,N/A,N/A,Ka Monster,N/A,N/A
Lord Poison,https://uploads3.yugioh.com/card_images/335/list/Poison-Lord.jpg?1375203090,1500,1000,Effect Monster,,Plant
Lost Pride,https://uploads4.yugioh.com/card_images/4989/list/Lost-Pride.jpg?1399577323,,,Normal Trap,,
Luck Loan,https://uploads3.yugioh.com/card_images/3486/list/4966.jpg?1385134470,,,Normal Spell,,
Lucky Cloud,https://uploads1.yugioh.com/card_images/4990/list/Lucky-Cloud.jpg?1399577384,,,Normal Spell,,
Lullaby of Obedience,https://uploads3.yugioh.com/card_images/231/list/Lullaby-of-Obedience.jpg?1374778461,,,Normal Spell,,
Lumenize,https://uploads1.yugioh.com/card_images/586/list/Photonise.jpg?1380212035,,,Normal Trap/Trap,,
Luminous Clouds,https://uploads3.yugioh.com/card_images/4991/list/Luminous-Clouds.jpg?1399577429,,,Normal Spell,,
Luminous Dragon Ritual,https://uploads4.yugioh.com/card_images/5291/list/Luminous-Dragon-Ritual.jpg?1423159257,,,Ritual Spell,,
Lure Phantom,https://uploads3.yugioh.com/card_images/4992/list/Lure-Phantom.jpg?1399577475,0,0,Effect Monster,1,Fiend
Luster Dragon,https://uploads3.yugioh.com/card_images/1248/list/1126.jpg?1385099344,1900,1600,Normal Monster,4,Dragon
Lycanthrope,https://uploads3.yugioh.com/card_images/3755/list/5087.jpg?1385135020,2400,1800,Ritual Monster/Effect Monster,6,Beast-Warrior
M Force,https://uploads2.yugioh.com/card_images/4418/list/M-force.jpg?1386975047,,,Quick-Play Spell,,
M-Warrior #1,https://uploads3.yugioh.com/card_images/278/list/M-Warrior-_1.jpg?1375127944,1000,500,Normal Monster,3,Warrior
Mach Synchron,https://uploads1.yugioh.com/card_images/4088/list/5107.jpg?1385135705,0,0,Tuner Monster,1,Machine
Machina Sniper,https://uploads2.yugioh.com/card_images/2441/list/537.jpg?1385098556,1800,800,Effect Monster,4,Machine
Machine Conversion Factory,https://uploads2.yugioh.com/card_images/1777/list/1557.jpg?1385102349,,,Normal Spell,,
Machine Duplication,https://uploads4.yugioh.com/card_images/656/list/_Machine-Duplication.jpg?1380226241,,,Normal Spell,,
Machine King,https://uploads3.yugioh.com/card_images/2308/list/2178.jpg?1385103425,2200,2000,Effect Monster,6,Machine
Mad Archfiend,https://uploads3.yugioh.com/card_images/4090/list/5109.jpg?1385135709,1800,0,Effect Monster,4,Fiend
Mad Profiler,https://uploads2.yugioh.com/card_images/3602/list/5106.jpg?1385134703,2600,1600,Effect Monster,8,Fiend
Mad Sword Beast,https://uploads3.yugioh.com/card_images/2408/list/625.jpg?1385098487,1400,1200,Effect Monster,4,Dinosaur
Magic Cylinder,https://uploads1.yugioh.com/card_images/2383/list/110.jpg?1385098437,,,Normal Trap,,
Magic Formula,https://uploads1.yugioh.com/card_images/1148/list/1259.jpg?1385099143,,,Equip Spell,,
Magic Jammer,https://uploads3.yugioh.com/card_images/1224/list/1289.jpg?1385099296,,,Counter Trap,,
Magical Academy,https://uploads1.yugioh.com/card_images/2080/list/1944.jpg?1385102963,,,Quick-Play Spell,,
Magical Alms,https://uploads2.yugioh.com/card_images/2347/list/1947.jpg?1385103506,,,Continuous Spell,,
Magical Dimension,https://uploads2.yugioh.com/card_images/234/list/Magical-DimensionJP.jpg?1374778546,,,Quick-Play Spell,,
Magical Hats,https://uploads4.yugioh.com/card_images/1849/list/2064.jpg?1385102495,,,Normal Spell,,
Magical Labyrinth,https://uploads3.yugioh.com/card_images/3122/list/4288.jpg?1385127607,,,Equip Spell,,
Magical Mallet,https://uploads4.yugioh.com/card_images/4993/list/Magical-Mallet-%28Temp%29.jpg?1399577558,,,Normal Spell,,
Magical Pigeon,https://uploads3.yugioh.com/card_images/235/list/Magical-Pigeon.jpg?1374778573,,,Quick-Play Spell,,
Magical Scientist,https://uploads2.yugioh.com/card_images/1870/list/2348.jpg?1385102537,300,300,Effect Monster,1,Spellcaster
Magical Stone Excavation,https://uploads2.yugioh.com/card_images/1199/list/1110.jpg?1385099245,,,Normal Spell,,
Magical Trick Mirror,https://uploads2.yugioh.com/card_images/236/list/Magical-Trick-MirrorJP.jpg?1374778602,,,Normal Trap,,
Magician of Black Chaos,https://uploads1.yugioh.com/card_images/4497/list/Magician-of-Black-ChaosCdF.jpg?1387058043,2800,2600,Ritual Monster,8,Spellcaster
Magician's Circle,https://uploads3.yugioh.com/card_images/2570/list/263.jpg?1385098827,,,Normal Trap,,
Magician's Valkyria,https://uploads3.yugioh.com/card_images/1141/list/1255.jpg?1385099128,1600,1800,Effect Monster,4,Spellcaster
Magnet Circle LV2,https://uploads2.yugioh.com/card_images/2436/list/462.jpg?1385098544,,,Normal Spell,,
Magnet Conductor Plus,https://uploads1.yugioh.com/card_images/4419/list/Magnet-Conductor-Plus-%E3%83%9E%E3%82%B0%E3%83%8D%E3%83%83%E3%83%88%E3%82%B3%E3%83%B3%E3%83%80%E3%82%AF%E3%82%BF%E3%83%BC%E3%83%97%E3%83%A9-copy.jpg?1386975090,,,Normal Spell,,
Magnet Force,https://uploads2.yugioh.com/card_images/2490/list/265.jpg?1385098660,,,Normal Trap,,
Magnet Force Minus,https://uploads4.yugioh.com/card_images/4488/list/%E3%83%9E%E3%82%B0%E3%83%8D%E3%83%83%E3%83%88%E3%83%95%E3%82%A9%E3%83%BC%E3%82%B9%E3%83%9E%E3%82%A4%E3%83%8A%E3%82%B9-Magnet-Force-Minus.jpg?1386978522,,,Continuous Trap,,
Magnet Force Plus,https://uploads3.yugioh.com/card_images/4420/list/Magnet-Force-Plus.jpg?1386975136,,,Continuous Trap,,
Magnet Reverse,https://uploads2.yugioh.com/card_images/1614/list/2922.jpg?1385102018,,,Normal Spell,,
Magnet Warrior Σ＋,https://uploads1.yugioh.com/card_images/4423/list/Magnet-Warrior-Sigma-Plus.jpg?1386975256,1800,1500,Plus Monster,4,Rock
Magnet Warrior Σ－,https://uploads2.yugioh.com/card_images/4422/list/magnet-warrior-sigma-minus.jpg?1386975220,1500,1800,Minus Monster,4,Rock
Magnet Warrior Ω－,https://uploads3.yugioh.com/card_images/4421/list/Magnet-Warrior-omega-minus.jpg?1386975182,1900,800,Minus Monster,4,Rock
Maha Vailo,https://uploads2.yugioh.com/card_images/2856/list/4217.jpg?1385127112,1550,1400,Effect Monster,4,Spellcaster
Maiden in Love,https://uploads4.yugioh.com/card_images/4611/list/Maiden-in-Love_FL.jpg?1390514317,400,300,Effect Monster,2,Spellcaster
Maiden of the Aqua,https://uploads4.yugioh.com/card_images/4214/list/2645.jpg?1385103343,700,2000,Effect Monster,4,Aqua
Majestic Dragon,https://uploads1.yugioh.com/card_images/4121/list/4942.jpg?1385135771,0,0,Tuner Monster,1,Dragon
Majestic Jester,https://uploads3.yugioh.com/card_images/738/list/Majestic-Jester.jpg?1380293909,0,0,Effect Monster,,Spellcaster
Majestic Red Dragon,https://uploads3.yugioh.com/card_images/4100/list/5310.jpg?1385135728,4000,3000,Synchro Monster/Effect Monster,10,Dragon
Majestic Star Dragon,https://uploads3.yugioh.com/card_images/4104/list/5312.jpg?1385135736,3800,3000,Synchro Monster/Effect Monster,10,Dragon
"Makiu, the Magical Mist",https://uploads2.yugioh.com/card_images/2858/list/4660.jpg?1385127116,,,Normal Spell,,
Makyura the Destructor,https://uploads2.yugioh.com/card_images/2153/list/2147.jpg?1385103113,1600,1200,Effect Monster,4,Warrior
Malfunction,https://uploads3.yugioh.com/card_images/2559/list/412.jpg?1385098802,,,Counter Trap,,
Malice Doll of Demise,https://uploads1.yugioh.com/card_images/2220/list/2968.jpg?1385103251,1600,1700,Effect Monster,,Fiend
Mammoth Graveyard,https://uploads1.yugioh.com/card_images/280/list/Mammoth-Graveyard.jpg?1375127983,1200,800,Normal Monster,3,Dinosaur
Man-Eater Bug,https://uploads4.yugioh.com/card_images/1638/list/2772.jpg?1385102070,450,600,Effect Monster,2,Insect
Man-Eating Plant,https://uploads3.yugioh.com/card_images/237/list/Man-Eating-Plant.jpg?1374778670,800,600,Normal Monster,2,Plant
Manju of the Ten Thousand Hands,https://uploads3.yugioh.com/card_images/5220/list/Manju_of_the_Ten_Thousand_Hands.jpg?1422984516,1400,1000,Effect Monster,4,Fairy
Marauding Captain,https://uploads3.yugioh.com/card_images/3114/list/3853.jpg?1385127592,1200,400,Effect Monster,3,Warrior
Marie the Fallen One,https://uploads2.yugioh.com/card_images/281/list/Marie-the-Fallen-One.jpg?1375128045,1700,1200,Effect Monster,5,Fiend
Marionette Burial,https://uploads3.yugioh.com/card_images/4544/list/Marionette-Burial.jpg?1389373852,,,Normal Spell,,
Mark of the Rose,https://uploads3.yugioh.com/card_images/3882/list/4853.jpg?1385135286,,,Equip Spell,,
Marshmallon,https://uploads3.yugioh.com/card_images/955/list/062.jpg?1382472454,300,500,Effect Monster,3,Fairy
Marshmallon Glasses,https://uploads1.yugioh.com/card_images/2231/list/1387.jpg?1385103274,,,Continuous Spell,,
Martyr Curse,https://uploads3.yugioh.com/card_images/238/list/Martyr-Curse.jpg?1374778693,,,Normal Trap,,
Masaki the Legendary Swordsman,https://uploads3.yugioh.com/card_images/2181/list/2281.jpg?1385103171,1100,1100,Normal Monster,4,Warrior
Mask of Dispel,https://uploads3.yugioh.com/card_images/2252/list/1647.jpg?1385103316,,,Continuous Spell,,
Mask of Perplexity,https://uploads1.yugioh.com/card_images/239/list/Mask-of-Perplexity.jpg?1374778722,,,Normal Trap,,
Mask of Restrict,https://uploads2.yugioh.com/card_images/972/list/094.jpg?1382473251,,,Continuous Trap,,
Mask of the Accursed,https://uploads1.yugioh.com/card_images/2202/list/1521.jpg?1385103216,,,Equip Spell,,
Masked Beast Des Gardius,https://uploads1.yugioh.com/card_images/4468/list/The-Masked-beast-Guardius-ALT3.jpg?1386977680,3300,2500,Effect Monster,8,Fiend
Masked Dragon,https://uploads2.yugioh.com/card_images/1341/list/2960.jpg?1385101480,1400,1100,Effect Monster,3,Dragon
Masked Knight LV3,https://uploads4.yugioh.com/card_images/3928/list/5114.jpg?1385135379,1500,800,Effect Monster,3,Warrior
Masked Knight LV5,https://uploads3.yugioh.com/card_images/3605/list/5111.jpg?1385134709,2300,1300,Effect Monster,5,Warrior
Masked Knight LV7,https://uploads4.yugioh.com/card_images/3606/list/5112.jpg?1385134711,2900,1800,Effect Monster,7,Warrior
Master and Servant's Resolve,https://uploads4.yugioh.com/card_images/4157/list/5994.jpg?1385135843,,,Continuous Trap,,
Master Kyonshee,https://uploads2.yugioh.com/card_images/1961/list/2599.jpg?1385102723,1750,1000,Normal Monster,4,Zombie
Master of Oz,https://uploads1.yugioh.com/card_images/2412/list/211.jpg?1385098494,4200,3700,Fusion Monster,,Beast
Master of the Flaming Dragonswords,https://uploads4.yugioh.com/card_images/1305/list/710.jpg?1385099458,1800,1200,Effect Monster,,Warrior
Maternal Junk,https://uploads4.yugioh.com/card_images/4058/list/5871.jpg?1385135646,300,1500,Effect Monster,3,Machine
Mathematician,https://uploads3.yugioh.com/card_images/4995/list/Mathematician.jpg?1399578299,1500,500,Effect Monster,3,Spellcaster
Mausoleum of the Emperor,https://uploads4.yugioh.com/card_images/2817/list/3718.jpg?1385127036,,,Field Spell,,
Max Warrior,https://uploads1.yugioh.com/card_images/3604/list/5110.jpg?1385134707,1800,800,Effect Monster,4,Warrior
Maximum Six,https://uploads1.yugioh.com/card_images/937/list/011.jpg?1382393099,1900,1600,Effect Monster,6,Warrior
Mecha Ojama King,https://uploads3.yugioh.com/card_images/4424/list/mecha-ojiyama-king.jpg?1386975297,0,3000,Effect Monster,6,Machine
Mecha Ojama King Transformation,https://uploads2.yugioh.com/card_images/4330/list/change!mecha-ojiyama-king.jpg?1386955778,,,Normal Spell,,
Mechanicalchaser,https://uploads4.yugioh.com/card_images/1536/list/2867.jpg?1385101866,1850,800,Normal Monster,4,Machine
Medium Piece Golem,https://uploads4.yugioh.com/card_images/3761/list/5103.jpg?1385135032,1600,0,Effect Monster,4,Rock
Medusa Worm,https://uploads2.yugioh.com/card_images/2450/list/513.jpg?1385098576,500,600,Effect Monster,2,Rock
Mefist the Infernal General,https://uploads3.yugioh.com/card_images/1697/list/2688.jpg?1385102187,1800,1700,Effect Monster,5,Fiend
Megamorph,https://uploads4.yugioh.com/card_images/3120/list/4286.jpg?1385127603,,,Normal Spell/Equip Spell,,
Megazowler,https://uploads3.yugioh.com/card_images/240/list/Megazowler.jpg?1374778777,1800,2000,Normal Monster,6,Dinosaur
Meklord Army of Granel,https://uploads4.yugioh.com/card_images/1209/list/858.jpg?1385099267,1600,1200,Effect Monster,4,Machine
